PO Number,Received Quantity,Condition
PO-72972,19,Good
PO-63230,72,Incomplete
PO-51607,81,Damaged
PO-41344,57,Damaged
PO-86386,38,Incomplete
PO-58167,13,Damaged
PO-17301,51,Damaged
PO-12289,29,Damaged
PO-32312,16,Damaged
PO-19805,67,Incomplete
PO-17670,8,Damaged
PO-89227,27,Incomplete
PO-86858,58,Damaged
PO-84136,60,Incomplete
PO-48164,96,Incomplete
PO-19841,85,Incomplete
PO-22828,97,Damaged
PO-31420,77,Incomplete
PO-52581,38,Damaged
PO-64667,76,Incomplete
PO-26407,5,Incomplete
PO-43841,80,Damaged
PO-52731,50,Incomplete
PO-99053,90,Good
PO-57509,37,Incomplete
PO-64061,13,Incomplete
PO-60726,3,Good
PO-86821,23,Damaged
PO-24509,31,Damaged
PO-59744,12,Good
PO-97422,82,Damaged
PO-44966,30,Damaged
PO-74789,36,Incomplete
PO-73243,20,Incomplete
PO-76254,1,Good
PO-26359,8,Incomplete
PO-66201,75,Incomplete
PO-93733,57,Good
PO-80616,92,Incomplete
PO-42992,43,Incomplete
PO-99511,13,Damaged
PO-12512,55,Good
PO-43583,17,Incomplete
PO-10952,98,Incomplete
PO-21136,51,Damaged
PO-19283,77,Incomplete
PO-66187,81,Good
PO-13168,33,Damaged
PO-38138,42,Damaged
PO-94182,73,Damaged
PO-47494,18,Good
PO-60472,5,Damaged
PO-19991,63,Good
PO-69346,41,Damaged
PO-26316,7,Good
PO-14261,62,Good
PO-46901,49,Good
PO-55515,52,Damaged
PO-67097,36,Damaged
PO-17288,88,Damaged
PO-19336,64,Good
PO-75082,93,Good
PO-90094,52,Damaged
PO-77503,62,Damaged
PO-51819,5,Good
PO-29983,77,Damaged
PO-84474,49,Good
PO-39029,44,Good
PO-91167,18,Good
PO-50663,58,Incomplete
PO-24919,59,Damaged
PO-86780,9,Damaged
PO-48488,68,Good
PO-48854,30,Good
PO-71658,16,Good
PO-33023,10,Good
PO-24430,59,Damaged
PO-24241,68,Good
PO-52050,47,Good
PO-33941,31,Good
PO-39446,85,Damaged
PO-84548,31,Incomplete
PO-86702,82,Incomplete
PO-53941,38,Damaged
PO-47777,56,Damaged
PO-13078,95,Damaged
PO-40068,57,Damaged
PO-39586,4,Good
PO-32973,83,Incomplete
PO-37756,51,Good
PO-22240,29,Damaged
PO-33912,53,Good
PO-78523,71,Incomplete
PO-19695,85,Good
PO-91719,51,Incomplete
PO-46594,8,Damaged
PO-45175,56,Incomplete
PO-88142,71,Incomplete
PO-47207,34,Good
PO-22416,66,Incomplete
PO-39225,88,Damaged
PO-49491,99,Incomplete
PO-16201,69,Good
PO-73593,13,Damaged
PO-69517,95,Incomplete
PO-68557,99,Damaged
PO-70884,66,Damaged
PO-48401,73,Incomplete
PO-23862,17,Incomplete
PO-81931,18,Good
PO-78868,9,Good
PO-58501,98,Incomplete
PO-68248,15,Damaged
PO-30560,30,Good
PO-33728,11,Good
PO-14783,21,Good
PO-28570,84,Good
PO-27169,10,Good
PO-94755,15,Damaged
PO-43623,91,Incomplete
PO-18210,35,Good
PO-72098,51,Damaged
PO-34913,68,Good
PO-54583,59,Incomplete
PO-19538,44,Incomplete
PO-49549,40,Incomplete
PO-51236,83,Damaged
PO-30405,55,Damaged
PO-47320,1,Incomplete
PO-45992,77,Incomplete
PO-92910,74,Good
PO-30447,20,Incomplete
PO-26428,43,Damaged
PO-88660,20,Good
PO-46815,30,Good
PO-35992,80,Damaged
PO-19363,81,Incomplete
PO-80051,23,Damaged
PO-31344,86,Damaged
PO-54120,19,Good
PO-80345,55,Damaged
PO-88542,44,Good
PO-59183,19,Good
PO-59729,43,Incomplete
PO-84035,84,Damaged
PO-73193,49,Damaged
PO-97129,43,Incomplete
PO-74404,72,Good
PO-63045,67,Good
PO-51247,75,Good
PO-69676,59,Incomplete
PO-43148,77,Incomplete
PO-78411,87,Damaged
PO-69693,56,Good
PO-57756,24,Incomplete
PO-77203,86,Damaged
PO-34117,69,Incomplete
PO-66941,46,Damaged
PO-73081,78,Good
PO-48224,50,Damaged
PO-84323,85,Incomplete
PO-21808,68,Damaged
PO-83351,76,Good
PO-48544,81,Damaged
PO-74092,87,Damaged
PO-62464,85,Incomplete
PO-95565,90,Damaged
PO-28873,39,Damaged
PO-27683,12,Damaged
PO-36690,62,Good
PO-72592,24,Good
PO-27678,87,Damaged
PO-26591,35,Damaged
PO-94273,30,Damaged
PO-86886,37,Damaged
PO-54889,91,Good
PO-40949,3,Good
PO-78489,13,Damaged
PO-36526,17,Damaged
PO-53033,7,Good
PO-19291,63,Damaged
PO-61768,32,Incomplete
PO-97215,90,Incomplete
PO-68167,90,Good
PO-63323,15,Incomplete
PO-93400,11,Incomplete
PO-70114,91,Good
PO-14193,13,Good
PO-82035,56,Damaged
PO-99557,25,Incomplete
PO-73536,68,Damaged
PO-63148,17,Incomplete
PO-90232,64,Damaged
PO-65484,59,Good
PO-21883,12,Incomplete
PO-78170,37,Damaged
PO-74232,74,Incomplete
PO-96087,74,Damaged
PO-50159,65,Good
PO-70650,67,Incomplete
PO-34620,28,Good
PO-36001,37,Damaged
PO-75401,71,Incomplete
PO-43017,67,Good
PO-79443,62,Incomplete
PO-32187,33,Damaged
PO-83510,82,Good
PO-29051,25,Good
PO-43070,91,Incomplete
PO-29627,54,Incomplete
PO-98516,63,Good
PO-86312,68,Damaged
PO-41655,29,Incomplete
PO-47981,58,Incomplete
PO-10889,56,Good
PO-13509,14,Good
PO-79831,9,Incomplete
PO-25854,40,Good
PO-68983,23,Incomplete
PO-22062,93,Good
PO-92989,91,Incomplete
PO-23816,16,Damaged
PO-79381,12,Damaged
PO-29272,44,Damaged
PO-44162,73,Good
PO-78844,50,Good
PO-97250,8,Incomplete
PO-85204,77,Incomplete
PO-57663,61,Damaged
PO-98204,33,Good
PO-12744,57,Good
PO-28786,32,Damaged
PO-96042,77,Good
PO-33508,98,Good
PO-81581,38,Good
PO-59214,71,Damaged
PO-68096,50,Damaged
PO-38164,46,Damaged
PO-34849,51,Incomplete
PO-75428,9,Incomplete
PO-70406,60,Good
PO-87655,74,Good
PO-60622,77,Damaged
PO-44545,14,Damaged
PO-13936,71,Incomplete
PO-87357,90,Damaged
PO-89598,65,Damaged
PO-38232,27,Incomplete
PO-74336,26,Incomplete
PO-28873,48,Good
PO-62069,35,Damaged
PO-23741,66,Damaged
PO-66277,15,Incomplete
PO-76186,54,Incomplete
PO-59169,32,Good
PO-51112,44,Damaged
PO-18011,2,Damaged
PO-80309,27,Incomplete
PO-46231,39,Good
PO-12908,6,Good
PO-68813,74,Incomplete
PO-47353,37,Damaged
PO-19111,47,Incomplete
PO-56456,45,Damaged
PO-31256,12,Incomplete
PO-43116,71,Good
PO-70197,76,Incomplete
PO-45040,2,Damaged
PO-40962,78,Incomplete
PO-53188,40,Good
PO-28448,73,Damaged
PO-77630,96,Incomplete
PO-82615,4,Damaged
PO-48165,97,Damaged
PO-84323,42,Damaged
PO-67627,17,Damaged
PO-90263,34,Good
PO-25496,56,Good
PO-93354,24,Incomplete
PO-84804,7,Damaged
PO-36659,70,Incomplete
PO-50513,40,Damaged
PO-57930,71,Incomplete
PO-96791,75,Good
PO-15518,24,Incomplete
PO-58545,84,Damaged
PO-32575,47,Good
PO-97947,94,Incomplete
PO-34269,54,Damaged
PO-22414,14,Damaged
PO-70840,63,Damaged
PO-54248,21,Good
PO-89476,70,Damaged
PO-45636,43,Good
PO-23723,4,Good
PO-90644,83,Incomplete
PO-31747,90,Incomplete
PO-79888,19,Damaged
PO-18321,76,Good
PO-35038,89,Damaged
PO-78315,87,Damaged
PO-21725,58,Damaged
PO-10845,76,Good
PO-49891,51,Incomplete
PO-52438,68,Incomplete
PO-62677,26,Good
PO-37894,58,Good
PO-49203,36,Good
PO-49334,67,Incomplete
PO-73271,97,Incomplete
PO-72601,56,Good
PO-47658,53,Incomplete
PO-52436,37,Incomplete
PO-81018,66,Damaged
PO-59003,40,Incomplete
PO-43688,13,Good
PO-12290,38,Damaged
PO-19360,29,Incomplete
PO-91196,15,Damaged
PO-97501,74,Good
PO-28598,39,Incomplete
PO-92423,95,Damaged
PO-76599,84,Good
PO-63708,3,Good
PO-80313,46,Damaged
PO-83211,88,Incomplete
PO-28823,25,Damaged
PO-47047,57,Damaged
PO-31011,65,Damaged
PO-34904,26,Damaged
PO-94211,28,Damaged
PO-77018,21,Damaged
PO-39103,73,Incomplete
PO-92374,94,Damaged
PO-34044,11,Incomplete
PO-97841,59,Incomplete
PO-17363,70,Incomplete
PO-68716,35,Good
PO-25657,14,Good
PO-10088,33,Damaged
PO-79501,64,Incomplete
PO-87153,9,Incomplete
PO-34690,63,Damaged
PO-87293,87,Good
PO-22089,79,Damaged
PO-24043,84,Incomplete
PO-81233,85,Incomplete
PO-11584,5,Good
PO-44090,54,Damaged
PO-34240,61,Incomplete
PO-31029,56,Incomplete
PO-92213,71,Damaged
PO-54956,13,Incomplete
PO-84477,55,Good
PO-17478,5,Incomplete
PO-25665,66,Incomplete
PO-90517,57,Good
PO-95375,76,Good
PO-34400,43,Incomplete
PO-69012,88,Incomplete
PO-89454,6,Damaged
PO-40309,96,Incomplete
PO-14341,45,Good
PO-33021,57,Damaged
PO-33117,53,Incomplete
PO-67545,94,Damaged
PO-91643,30,Incomplete
PO-96902,77,Incomplete
PO-99515,5,Incomplete
PO-97861,75,Good
PO-28923,15,Good
PO-72360,60,Good
PO-28436,73,Incomplete
PO-98505,38,Good
PO-29860,71,Good
PO-54779,40,Damaged
PO-66224,17,Good
PO-12045,36,Damaged
PO-42290,67,Damaged
PO-98387,68,Damaged
PO-30874,31,Good
PO-82908,64,Incomplete
PO-82791,78,Incomplete
PO-80059,90,Incomplete
PO-66423,84,Good
PO-68043,60,Damaged
PO-73759,100,Incomplete
PO-16502,29,Good
PO-59133,28,Damaged
PO-79133,87,Good
PO-49059,22,Damaged
PO-91579,78,Damaged
PO-96232,67,Damaged
PO-80849,96,Damaged
PO-90738,79,Good
PO-12772,62,Damaged
PO-82858,41,Good
PO-77145,50,Damaged
PO-69887,36,Incomplete
PO-87352,9,Incomplete
PO-63912,91,Incomplete
PO-36175,17,Incomplete
PO-49501,21,Good
PO-71947,49,Incomplete
PO-38066,44,Incomplete
PO-15829,13,Good
PO-79077,59,Good
PO-74889,15,Incomplete
PO-20603,90,Good
PO-79732,58,Good
PO-37738,25,Incomplete
PO-49338,66,Damaged
PO-83422,68,Incomplete
PO-90430,92,Good
PO-69418,18,Good
PO-91086,74,Damaged
PO-36358,93,Incomplete
PO-40494,16,Good
PO-44248,25,Damaged
PO-54250,43,Damaged
PO-82771,71,Good
PO-11281,69,Damaged
PO-99300,94,Good
PO-42883,94,Damaged
PO-66229,80,Damaged
PO-94852,50,Good
PO-30251,65,Good
PO-93622,27,Damaged
PO-88362,59,Good
PO-36029,29,Good
PO-29084,58,Damaged
PO-17634,89,Damaged
PO-98976,70,Damaged
PO-34261,99,Incomplete
PO-77079,79,Good
PO-98832,58,Incomplete
PO-45686,45,Damaged
PO-85131,87,Good
PO-77660,53,Damaged
PO-42660,74,Incomplete
PO-62555,79,Damaged
PO-48149,40,Good
PO-76340,47,Damaged
PO-28787,95,Incomplete
PO-92994,82,Good
PO-40234,18,Damaged
PO-57434,88,Damaged
PO-77716,83,Incomplete
PO-13480,55,Incomplete
PO-75661,7,Good
PO-62678,76,Incomplete
PO-17654,14,Incomplete
PO-17587,45,Good
PO-46297,18,Damaged
PO-23757,29,Good
PO-51530,47,Damaged
PO-77297,92,Damaged
PO-84571,3,Good
PO-86759,45,Incomplete
PO-33337,41,Good
PO-86577,36,Incomplete
PO-49334,27,Good
PO-40672,32,Incomplete
PO-80412,59,Incomplete
PO-78235,20,Good
PO-39454,17,Good
PO-13119,67,Incomplete
PO-64228,49,Incomplete
PO-32400,23,Incomplete
PO-85861,50,Damaged
PO-77446,90,Good
PO-11845,9,Incomplete
PO-59301,8,Good
PO-61753,17,Damaged
PO-81934,90,Good
PO-83049,34,Incomplete
PO-78589,43,Damaged
PO-31767,18,Good
PO-86539,13,Incomplete
PO-89594,47,Damaged
PO-87561,88,Damaged
PO-29678,30,Incomplete
PO-72779,62,Damaged
PO-41333,72,Damaged
PO-96620,68,Incomplete
PO-57858,88,Incomplete
PO-19188,41,Incomplete
PO-54052,83,Damaged
PO-34316,73,Incomplete
PO-86974,62,Good
PO-47560,25,Incomplete
PO-41247,7,Damaged
PO-86641,21,Good
PO-33475,20,Damaged
PO-76923,29,Incomplete
PO-25497,15,Good
PO-97295,5,Incomplete
PO-33146,10,Damaged
PO-46466,27,Good
PO-62609,96,Damaged
PO-72039,48,Good
PO-57621,12,Good
PO-23820,59,Damaged
PO-41060,100,Good
PO-82911,29,Incomplete
PO-34800,25,Damaged
PO-73382,4,Good
PO-69229,79,Incomplete
PO-96099,8,Good
PO-50729,97,Incomplete
PO-95370,92,Good
PO-22157,51,Damaged
PO-23433,9,Good
PO-68313,81,Good
PO-80558,83,Damaged
PO-72366,79,Good
PO-48436,34,Damaged
PO-53237,5,Incomplete
PO-28545,54,Good
PO-39384,36,Damaged
PO-75117,90,Incomplete
PO-57011,68,Incomplete
PO-56626,39,Incomplete
PO-57012,33,Incomplete
PO-61405,22,Good
PO-89350,39,Damaged
PO-29231,98,Damaged
PO-54398,85,Good
PO-83435,58,Incomplete
PO-10227,17,Incomplete
PO-50236,21,Damaged
PO-99441,66,Damaged
PO-61631,18,Damaged
PO-19138,82,Incomplete
PO-63541,67,Damaged
PO-46822,54,Good
PO-57918,26,Good
PO-26950,47,Incomplete
PO-92973,79,Incomplete
PO-76550,46,Good
PO-52561,48,Damaged
PO-10988,30,Good
PO-81955,100,Damaged
PO-20832,36,Damaged
PO-71544,1,Good
PO-58740,24,Incomplete
PO-77407,51,Incomplete
PO-46990,21,Damaged
PO-26258,3,Damaged
PO-91776,66,Incomplete
PO-38308,98,Damaged
PO-60824,55,Damaged
PO-96867,66,Good
PO-21601,85,Incomplete
PO-96449,53,Good
PO-87316,18,Good
PO-86795,44,Damaged
PO-58227,36,Damaged
PO-29384,49,Good
PO-70603,69,Incomplete
PO-75536,57,Good
PO-46970,46,Damaged
PO-67817,30,Incomplete
PO-10205,26,Damaged
PO-49544,79,Damaged
PO-70006,74,Damaged
PO-91715,13,Good
PO-51463,20,Good
PO-37746,5,Good
PO-76518,66,Good
PO-91134,51,Incomplete
PO-79711,40,Damaged
PO-43870,7,Damaged
PO-90238,88,Good
PO-96288,6,Damaged
PO-72083,95,Good
PO-94049,33,Incomplete
PO-78657,42,Good
PO-34682,51,Damaged
PO-94672,13,Incomplete
PO-73272,13,Incomplete
PO-37844,9,Good
PO-83643,69,Incomplete
PO-10318,5,Good
PO-10667,90,Damaged
PO-45022,53,Incomplete
PO-13688,100,Good
PO-23078,82,Good
PO-63170,46,Damaged
PO-47148,56,Good
PO-84502,75,Incomplete
PO-16900,3,Incomplete
PO-90656,60,Damaged
PO-48235,37,Good
PO-64781,99,Damaged
PO-75517,93,Incomplete
PO-85903,66,Damaged
PO-65422,35,Damaged
PO-15983,19,Damaged
PO-47761,91,Damaged
PO-42186,23,Good
PO-56935,82,Damaged
PO-13582,7,Good
PO-16250,3,Damaged
PO-66891,77,Good
PO-62569,36,Incomplete
PO-62424,16,Damaged
PO-90087,3,Damaged
PO-20670,78,Good
PO-60554,8,Incomplete
PO-69570,30,Good
PO-32879,89,Good
PO-44401,74,Damaged
PO-58731,51,Damaged
PO-65397,39,Incomplete
PO-35087,49,Good
PO-92159,100,Damaged
PO-62713,83,Damaged
PO-20812,96,Good
PO-72450,66,Good
PO-48265,19,Incomplete
PO-82144,11,Incomplete
PO-64951,57,Incomplete
PO-33293,80,Damaged
PO-60055,86,Damaged
PO-10486,84,Incomplete
PO-81653,100,Damaged
PO-85403,73,Incomplete
PO-73821,99,Incomplete
PO-42502,16,Incomplete
PO-52477,80,Good
PO-41651,86,Damaged
PO-24242,95,Incomplete
PO-21560,3,Damaged
PO-31960,6,Incomplete
PO-62919,34,Good
PO-22749,82,Damaged
PO-24268,55,Incomplete
PO-32775,85,Good
PO-58220,7,Damaged
PO-69387,1,Damaged
PO-99177,11,Damaged
PO-65764,89,Good
PO-90901,53,Damaged
PO-77513,97,Damaged
PO-12977,32,Good
PO-11213,84,Incomplete
PO-30603,89,Incomplete
PO-16431,27,Damaged
PO-90873,82,Damaged
PO-58704,93,Good
PO-72542,52,Damaged
PO-20239,70,Incomplete
PO-78728,87,Incomplete
PO-13510,9,Good
PO-12546,28,Damaged
PO-37101,86,Damaged
PO-14081,97,Incomplete
PO-61076,40,Incomplete
PO-78392,31,Incomplete
PO-64602,3,Damaged
PO-81133,34,Good
PO-92416,17,Damaged
PO-54923,15,Incomplete
PO-28950,20,Damaged
PO-19096,65,Incomplete
PO-95339,87,Damaged
PO-56081,21,Damaged
PO-32246,19,Damaged
PO-23458,39,Good
PO-91333,29,Incomplete
PO-51270,34,Incomplete
PO-61924,26,Damaged
PO-68005,17,Good
PO-47631,65,Good
PO-84219,75,Good
PO-98737,63,Damaged
PO-88124,49,Incomplete
PO-78472,43,Good
PO-20178,12,Incomplete
PO-58624,37,Good
PO-18511,98,Good
PO-19120,20,Damaged
PO-35847,21,Damaged
PO-33408,41,Good
PO-79317,78,Incomplete
PO-67055,55,Damaged
PO-72952,42,Incomplete
PO-27889,13,Damaged
PO-32521,71,Damaged
PO-18907,100,Incomplete
PO-53847,51,Good
PO-26601,25,Incomplete
PO-54274,1,Incomplete
PO-55120,3,Good
PO-57751,51,Good
PO-54049,68,Damaged
PO-75385,65,Damaged
PO-19966,45,Incomplete
PO-82772,29,Good
PO-97613,92,Good
PO-69228,87,Good
PO-89607,89,Incomplete
PO-16594,43,Good
PO-44538,51,Damaged
PO-13439,25,Damaged
PO-93904,39,Incomplete
PO-66090,42,Good
PO-68626,62,Incomplete
PO-32786,6,Incomplete
PO-61492,79,Incomplete
PO-21296,4,Damaged
PO-21581,9,Good
PO-87281,70,Good
PO-20453,70,Damaged
PO-47629,46,Good
PO-15989,98,Damaged
PO-69552,27,Incomplete
PO-58056,69,Damaged
PO-62315,13,Damaged
PO-10462,95,Good
PO-40357,33,Good
PO-45103,74,Damaged
PO-57933,57,Good
PO-33026,42,Incomplete
PO-17509,22,Incomplete
PO-44954,66,Incomplete
PO-31464,88,Good
PO-12343,10,Incomplete
PO-70416,36,Damaged
PO-99285,75,Damaged
PO-92125,6,Incomplete
PO-69086,64,Damaged
PO-68739,82,Good
PO-88033,4,Good
PO-21468,41,Good
PO-36901,44,Damaged
PO-61277,26,Good
PO-70020,100,Incomplete
PO-11161,22,Incomplete
PO-46660,92,Damaged
PO-13782,57,Good
PO-91154,94,Incomplete
PO-29668,11,Good
PO-64960,79,Damaged
PO-27133,95,Damaged
PO-45679,31,Good
PO-32999,44,Incomplete
PO-21801,50,Incomplete
PO-69067,38,Damaged
PO-21574,19,Damaged
PO-95175,8,Damaged
PO-21541,22,Incomplete
PO-86916,86,Good
PO-70579,25,Damaged
PO-94165,26,Damaged
PO-67407,91,Good
PO-18754,52,Good
PO-67764,71,Incomplete
PO-63635,77,Good
PO-43441,55,Incomplete
PO-47774,77,Incomplete
PO-88728,82,Good
PO-66717,34,Damaged
PO-45938,34,Incomplete
PO-93554,67,Damaged
PO-49802,28,Incomplete
PO-68016,39,Incomplete
PO-75694,87,Good
PO-88717,84,Incomplete
PO-79972,50,Incomplete
PO-18680,81,Damaged
PO-18933,40,Damaged
PO-41746,4,Damaged
PO-37104,77,Incomplete
PO-30932,30,Damaged
PO-50989,56,Incomplete
PO-55623,93,Good
PO-87946,71,Good
PO-16573,42,Incomplete
PO-24482,15,Good
PO-94767,35,Good
PO-29710,77,Incomplete
PO-67828,27,Damaged
PO-28297,97,Damaged
PO-34703,75,Incomplete
PO-70044,77,Incomplete
PO-92293,3,Incomplete
PO-48608,21,Damaged
PO-51709,8,Damaged
PO-82950,80,Damaged
PO-75940,73,Damaged
PO-74010,97,Incomplete
PO-74649,63,Damaged
PO-24969,33,Good
PO-74030,57,Good
PO-70089,81,Damaged
PO-78817,79,Damaged
PO-53315,80,Incomplete
PO-75519,74,Good
PO-87870,39,Damaged
PO-50064,98,Damaged
PO-89744,66,Damaged
PO-87414,70,Incomplete
PO-54653,20,Incomplete
PO-91834,44,Damaged
PO-51264,97,Damaged
PO-69332,19,Damaged
PO-84647,96,Damaged
PO-86240,45,Incomplete
PO-62722,5,Incomplete
PO-17071,36,Damaged
PO-83959,77,Damaged
PO-65549,50,Damaged
PO-81880,90,Good
PO-38587,11,Damaged
PO-55070,84,Damaged
PO-91222,91,Incomplete
PO-20616,12,Damaged
PO-97944,38,Good
PO-84281,84,Good
PO-66756,33,Good
PO-83354,33,Good
PO-38172,74,Good
PO-25126,39,Damaged
PO-61183,36,Damaged
PO-28706,27,Good
PO-19860,78,Damaged
PO-10741,20,Damaged
PO-49918,45,Damaged
PO-25243,84,Damaged
PO-21271,43,Good
PO-62102,40,Damaged
PO-71626,1,Good
PO-55788,92,Damaged
PO-33368,87,Good
PO-91384,41,Good
PO-75604,49,Incomplete
PO-94834,59,Damaged
PO-34019,47,Incomplete
PO-84799,7,Damaged
PO-70608,64,Incomplete
PO-55820,94,Damaged
PO-50149,46,Incomplete
PO-15022,16,Damaged
PO-66846,29,Good
PO-91283,8,Incomplete
PO-72481,13,Good
PO-65910,88,Damaged
PO-76506,60,Good
PO-43017,56,Incomplete
PO-77647,58,Damaged
PO-30781,50,Damaged
PO-95887,17,Damaged
PO-69313,8,Good
PO-22011,20,Good
PO-17744,71,Incomplete
PO-21564,65,Incomplete
PO-87492,69,Good
PO-29590,100,Good
PO-53069,67,Damaged
PO-17891,9,Damaged
PO-41855,64,Incomplete
PO-66606,38,Damaged
PO-53946,88,Incomplete
PO-79786,58,Damaged
PO-72295,57,Good
PO-19177,14,Damaged
PO-98302,16,Good
PO-95821,4,Good
PO-42235,95,Damaged
PO-82471,45,Good
PO-63436,8,Incomplete
PO-99783,82,Damaged
PO-30828,89,Good
PO-98907,39,Incomplete
PO-86656,91,Damaged
PO-92013,19,Incomplete
PO-81718,71,Good
PO-27101,10,Damaged
PO-82976,73,Good
PO-31717,31,Incomplete
PO-98152,52,Good
PO-12594,27,Good
PO-27882,70,Incomplete
PO-65122,57,Incomplete
PO-78230,65,Damaged
PO-34595,39,Incomplete
PO-50326,93,Good
PO-55472,9,Damaged
PO-26034,61,Incomplete
PO-93590,5,Incomplete
PO-76028,45,Good
PO-41399,76,Good
PO-11122,100,Damaged
PO-27891,27,Good
PO-22542,33,Good
PO-75396,47,Damaged
PO-92303,72,Incomplete
PO-58604,88,Incomplete
PO-68572,11,Incomplete
PO-61243,57,Damaged
PO-46074,44,Incomplete
PO-48437,11,Damaged
PO-40657,94,Incomplete
PO-68185,80,Incomplete
PO-68191,46,Damaged
PO-32876,21,Good
PO-61204,54,Good
PO-38413,71,Incomplete
PO-39042,21,Damaged
PO-72085,31,Damaged
PO-67528,21,Incomplete
PO-99556,62,Incomplete
PO-25921,24,Incomplete
PO-99799,38,Incomplete
PO-15930,100,Incomplete
PO-92443,38,Incomplete
PO-12668,67,Good
PO-16548,14,Damaged
PO-68983,61,Incomplete
PO-38790,42,Good
PO-84646,98,Incomplete
PO-55045,55,Good
PO-74657,10,Damaged
PO-51759,54,Incomplete
PO-45236,7,Good
PO-73528,76,Damaged
PO-82861,10,Good
PO-90871,43,Good
PO-80119,8,Damaged
PO-98257,61,Good
PO-33875,83,Good
PO-40355,66,Good
PO-69590,45,Damaged
PO-63963,60,Damaged
PO-92587,63,Damaged
PO-78410,29,Incomplete
PO-31757,90,Damaged
PO-73003,28,Good
PO-22403,61,Damaged
PO-11731,17,Incomplete
PO-41652,81,Good
PO-52213,81,Good
PO-63177,72,Damaged
PO-74051,50,Damaged
PO-15824,97,Incomplete
PO-75542,100,Damaged
PO-80272,40,Incomplete
PO-99528,49,Incomplete
PO-57915,21,Incomplete
PO-26643,50,Good
PO-42248,77,Good
PO-91383,89,Incomplete
PO-10780,11,Good
PO-10072,82,Damaged
PO-86914,16,Good
PO-48001,18,Good
PO-23067,83,Damaged
PO-99088,56,Damaged
PO-63230,82,Incomplete
PO-58366,27,Damaged
PO-82043,65,Incomplete
PO-86578,64,Good
PO-79951,8,Good
PO-54981,99,Incomplete
PO-94188,12,Damaged
PO-92129,96,Damaged
PO-57113,70,Good
PO-45952,30,Incomplete
PO-81286,8,Damaged
PO-22804,60,Good
PO-41478,49,Damaged
PO-77871,88,Good
PO-74578,73,Damaged
PO-98620,26,Good
PO-97245,2,Good
PO-84270,48,Damaged
PO-19706,28,Good
PO-35173,26,Good
PO-55928,80,Good
PO-33072,44,Good
PO-47138,30,Damaged
PO-70649,89,Good
PO-40929,37,Good
PO-38663,81,Good
PO-60993,66,Damaged
PO-99533,69,Damaged
PO-88686,33,Damaged
PO-56868,21,Incomplete
PO-17135,32,Good
PO-23100,64,Good
PO-65171,100,Good
PO-74540,20,Incomplete
PO-82931,63,Good
PO-79643,99,Damaged
PO-37867,46,Damaged
PO-26648,78,Incomplete
PO-48284,49,Good
PO-78087,57,Damaged
PO-33472,10,Damaged
PO-93130,46,Damaged
PO-42806,18,Good
PO-12471,88,Damaged
PO-45867,40,Damaged
PO-56425,6,Incomplete
PO-43267,22,Good
PO-28495,94,Damaged
PO-38756,5,Damaged
PO-24793,86,Good
PO-30422,40,Good
PO-88362,100,Incomplete
PO-87634,16,Damaged
PO-66743,72,Incomplete
PO-20921,60,Damaged
PO-18289,19,Good
PO-31833,46,Incomplete
PO-93180,17,Good
PO-44624,96,Incomplete
PO-21618,14,Damaged
PO-45107,40,Damaged
PO-19758,35,Good
PO-54374,74,Good
PO-31798,87,Damaged
PO-91362,60,Incomplete
PO-59678,22,Damaged
PO-75044,47,Damaged
PO-92504,73,Good
PO-40702,79,Good
PO-77495,56,Damaged
PO-75020,83,Good
PO-21923,34,Incomplete
PO-92168,10,Incomplete
PO-34629,53,Damaged
PO-92426,15,Incomplete
PO-59880,9,Incomplete
PO-13990,31,Incomplete
PO-84925,50,Damaged
PO-17136,81,Incomplete
PO-84265,63,Incomplete
PO-19067,58,Damaged
PO-10783,73,Damaged
PO-97433,77,Incomplete
PO-52026,24,Incomplete
PO-15654,36,Good
PO-13721,1,Incomplete
PO-63235,16,Good
PO-47462,90,Good
PO-85833,41,Good
PO-66799,37,Damaged
PO-40559,29,Damaged
PO-63971,62,Good
PO-48593,31,Good
PO-19774,97,Damaged
PO-50716,90,Good
PO-73131,73,Good
PO-31578,69,Good
PO-98479,53,Damaged
PO-50899,56,Damaged
PO-69210,19,Damaged
PO-76941,17,Good
PO-14247,75,Good
PO-94990,6,Damaged
PO-82180,80,Good
PO-54545,65,Damaged
PO-82700,52,Damaged
PO-22434,25,Damaged
PO-39166,81,Damaged
PO-93825,32,Damaged
PO-47968,47,Damaged
PO-12976,78,Good
PO-74181,25,Incomplete
PO-69864,91,Incomplete
PO-84947,73,Good
PO-28374,31,Incomplete
PO-14287,85,Good
PO-40132,76,Incomplete
PO-80543,83,Incomplete
PO-34363,71,Good
PO-20004,24,Incomplete
PO-64080,10,Damaged
PO-47108,24,Incomplete
PO-99522,39,Good
PO-25408,24,Good
PO-90935,89,Incomplete
PO-67445,43,Damaged
PO-13122,57,Incomplete
PO-82370,45,Incomplete
PO-72182,26,Damaged
PO-10636,40,Good
PO-98989,28,Incomplete
PO-82698,2,Damaged
PO-96709,52,Incomplete
PO-58021,59,Damaged
PO-82007,11,Damaged
PO-73651,37,Good
PO-16119,45,Incomplete
PO-81867,59,Damaged
PO-46174,61,Good
PO-37886,55,Damaged
PO-67872,48,Incomplete
PO-64145,19,Good
PO-97972,75,Damaged
PO-28152,49,Good
