Invoice Number,Vendor,PO Number,Invoice Date,Total Amount
INV-76852,Vendor_73490,PO-69117,"April 18, 2024",20643.76
INV-34178,Vendor_52924,PO-66589,"April 29, 2024",50476.79
INV-10299,Vendor_90756,PO-55282,"April 08, 2024",30436.56
INV-74826,Vendor_47520,PO-32037,"April 23, 2024",80070.17
INV-59865,Vendor_59271,PO-67167,"April 29, 2024",65352.95
INV-35193,Vendor_47662,PO-51243,"April 27, 2024",33191.58
INV-94102,Vendor_72438,PO-77177,"April 28, 2024",39508.59
INV-93483,Vendor_63748,PO-23613,"April 28, 2024",16819.73
INV-98585,Vendor_96189,PO-87609,"April 22, 2024",67777.99
INV-54772,Vendor_93402,PO-94125,"April 08, 2024",82294.77
INV-54359,Vendor_17687,PO-99218,"May 03, 2024",27108.58
INV-69387,Vendor_25519,PO-84681,"April 22, 2024",79211.85
INV-21644,Vendor_71972,PO-35316,"May 06, 2024",8800.02
INV-77632,Vendor_40817,PO-41658,"April 20, 2024",77326.12
INV-73573,Vendor_62782,PO-17087,"April 11, 2024",97200.35
INV-54713,Vendor_17932,PO-52420,"April 21, 2024",57287.46
INV-72731,Vendor_94879,PO-57500,"April 12, 2024",42246.14
INV-38398,Vendor_91294,PO-27920,"May 01, 2024",74962.44
INV-99668,Vendor_12824,PO-75539,"April 15, 2024",12811.41
INV-26836,Vendor_59010,PO-13079,"April 28, 2024",37397.37
INV-90535,Vendor_77566,PO-83103,"April 08, 2024",72336.24
INV-69670,Vendor_97394,PO-58413,"April 18, 2024",7090.61
INV-63133,Vendor_39144,PO-18504,"April 24, 2024",52864.04
INV-19627,Vendor_77252,PO-23069,"April 26, 2024",34799.5
INV-70532,Vendor_94067,PO-96387,"April 07, 2024",93645.8
INV-29472,Vendor_51290,PO-15442,"April 22, 2024",95216.08
INV-85544,Vendor_96706,PO-20193,"April 28, 2024",85186.6
INV-56217,Vendor_38188,PO-16520,"April 15, 2024",40086.85
INV-11367,Vendor_51516,PO-47690,"April 19, 2024",14573.71
INV-72838,Vendor_59313,PO-87047,"April 30, 2024",7854.63
INV-62995,Vendor_27595,PO-96683,"April 18, 2024",35815.9
INV-50123,Vendor_27242,PO-69576,"April 08, 2024",60570.69
INV-52352,Vendor_86416,PO-15643,"May 01, 2024",3190.72
INV-55173,Vendor_85982,PO-85399,"April 17, 2024",29121.01
INV-65581,Vendor_45174,PO-33043,"April 21, 2024",63119.69
INV-79852,Vendor_63557,PO-36078,"April 07, 2024",2226.87
INV-81194,Vendor_33148,PO-65939,"April 12, 2024",46975.93
INV-87597,Vendor_63681,PO-62264,"April 22, 2024",95353.31
INV-99567,Vendor_28059,PO-47642,"April 16, 2024",20541.46
INV-34829,Vendor_39000,PO-41093,"April 10, 2024",64095.34
INV-47626,Vendor_68820,PO-60093,"April 22, 2024",7913.32
INV-71409,Vendor_75029,PO-83585,"April 10, 2024",25785.58
INV-47642,Vendor_16897,PO-62009,"April 08, 2024",18814.41
INV-51611,Vendor_59467,PO-22774,"April 22, 2024",97963.52
INV-27815,Vendor_65421,PO-28060,"April 28, 2024",57708.25
INV-28123,Vendor_80623,PO-79774,"April 24, 2024",15481.55
INV-74556,Vendor_98448,PO-59759,"April 21, 2024",6651.35
INV-94796,Vendor_55261,PO-87659,"May 04, 2024",76724.1
INV-37695,Vendor_44605,PO-91950,"April 10, 2024",76450.5
INV-41721,Vendor_26932,PO-45661,"April 29, 2024",85771.28
INV-38450,Vendor_13307,PO-54129,"April 12, 2024",41202.85
INV-63801,Vendor_95987,PO-25586,"May 01, 2024",35894.19
INV-22442,Vendor_10081,PO-72309,"May 04, 2024",31590.33
INV-82225,Vendor_66157,PO-20882,"April 28, 2024",28098.59
INV-79653,Vendor_86638,PO-10263,"April 15, 2024",74094.48
INV-96324,Vendor_37086,PO-76724,"April 18, 2024",12948.08
INV-76825,Vendor_13138,PO-67481,"April 25, 2024",21699.29
INV-64770,Vendor_72315,PO-44742,"April 13, 2024",54796.68
INV-85140,Vendor_25290,PO-59225,"April 10, 2024",97294.73
INV-27290,Vendor_68098,PO-40851,"May 02, 2024",89542.73
INV-76885,Vendor_97117,PO-87533,"April 22, 2024",4920.76
INV-11109,Vendor_75662,PO-75713,"April 14, 2024",50423.4
INV-35464,Vendor_14162,PO-21270,"April 18, 2024",15039.37
INV-50162,Vendor_29736,PO-71274,"April 14, 2024",7848.84
INV-45576,Vendor_90378,PO-10558,"April 28, 2024",98344.0
INV-77910,Vendor_75713,PO-72977,"May 02, 2024",70146.19
INV-49361,Vendor_76346,PO-44196,"April 13, 2024",50003.25
INV-44904,Vendor_27630,PO-23726,"April 20, 2024",64513.36
INV-60307,Vendor_27240,PO-99900,"April 12, 2024",76382.59
INV-76035,Vendor_62543,PO-21818,"May 01, 2024",98505.59
INV-38379,Vendor_81866,PO-75820,"April 24, 2024",89947.23
INV-59178,Vendor_92089,PO-84667,"April 08, 2024",24323.33
INV-25529,Vendor_93578,PO-80641,"April 07, 2024",48662.29
INV-51439,Vendor_83224,PO-72981,"April 10, 2024",75693.04
INV-25725,Vendor_86916,PO-56080,"May 01, 2024",63297.64
INV-34085,Vendor_55315,PO-85063,"May 05, 2024",24918.09
INV-12094,Vendor_17098,PO-22809,"April 28, 2024",32542.75
INV-47288,Vendor_27966,PO-30859,"April 30, 2024",65474.4
INV-78491,Vendor_97244,PO-44190,"April 12, 2024",63617.26
INV-62155,Vendor_91625,PO-16685,"April 15, 2024",34264.38
INV-37774,Vendor_27758,PO-26668,"April 20, 2024",99622.66
INV-48989,Vendor_37508,PO-72655,"April 30, 2024",36977.58
INV-60355,Vendor_26149,PO-69121,"April 30, 2024",43615.51
INV-30814,Vendor_57471,PO-63199,"April 11, 2024",92304.69
INV-41655,Vendor_81273,PO-93316,"April 11, 2024",94345.73
INV-26418,Vendor_56567,PO-24409,"May 04, 2024",70854.32
INV-63474,Vendor_59554,PO-43138,"April 21, 2024",61783.36
INV-33305,Vendor_41173,PO-12891,"April 17, 2024",22762.61
INV-84003,Vendor_91313,PO-71531,"April 08, 2024",12522.34
INV-41972,Vendor_73925,PO-27388,"April 09, 2024",72668.79
INV-98697,Vendor_90047,PO-58897,"April 19, 2024",6346.4
INV-23286,Vendor_49204,PO-87055,"April 20, 2024",11161.29
INV-99558,Vendor_85883,PO-92077,"April 16, 2024",21129.79
INV-91051,Vendor_15340,PO-49487,"April 21, 2024",55303.86
INV-69486,Vendor_95954,PO-13213,"April 22, 2024",40642.01
INV-65755,Vendor_57003,PO-32125,"May 06, 2024",80394.72
INV-49196,Vendor_48604,PO-47274,"April 26, 2024",32048.47
INV-80808,Vendor_94124,PO-35928,"April 28, 2024",61924.24
INV-15880,Vendor_66656,PO-20947,"April 20, 2024",74237.77
INV-53254,Vendor_32833,PO-60187,"April 11, 2024",57904.19
INV-95009,Vendor_22647,PO-62208,"April 19, 2024",98418.82
INV-16094,Vendor_78218,PO-62836,"April 19, 2024",28291.82
INV-39876,Vendor_71189,PO-40298,"April 15, 2024",9897.36
INV-83663,Vendor_68932,PO-24211,"April 23, 2024",25367.94
INV-93816,Vendor_90988,PO-53443,"April 30, 2024",96529.55
INV-56879,Vendor_87391,PO-54870,"April 08, 2024",21657.09
INV-25037,Vendor_88293,PO-20422,"April 23, 2024",94810.84
INV-62752,Vendor_48793,PO-56528,"April 25, 2024",98176.83
INV-34084,Vendor_39743,PO-76216,"April 09, 2024",6206.92
INV-23388,Vendor_71410,PO-60942,"April 09, 2024",52296.47
INV-74150,Vendor_52784,PO-61171,"April 29, 2024",57166.4
INV-15295,Vendor_84311,PO-99838,"April 20, 2024",22654.52
INV-10776,Vendor_45152,PO-71962,"April 10, 2024",37478.77
INV-64024,Vendor_57055,PO-26530,"April 25, 2024",78940.51
INV-89839,Vendor_97335,PO-46154,"April 09, 2024",88793.62
INV-28035,Vendor_78600,PO-90116,"April 23, 2024",43696.33
INV-71406,Vendor_99957,PO-74844,"April 23, 2024",79441.85
INV-39892,Vendor_80491,PO-53283,"April 11, 2024",22284.92
INV-80774,Vendor_21208,PO-80075,"April 25, 2024",9131.27
INV-80962,Vendor_95266,PO-89779,"April 21, 2024",62351.41
INV-27749,Vendor_31278,PO-56960,"April 13, 2024",53862.88
INV-40922,Vendor_66633,PO-82691,"April 18, 2024",66529.4
INV-74631,Vendor_18731,PO-81953,"April 17, 2024",1352.06
INV-72016,Vendor_84056,PO-72904,"April 13, 2024",6263.81
INV-13393,Vendor_98745,PO-26601,"April 27, 2024",9196.29
INV-83171,Vendor_75244,PO-88558,"May 04, 2024",18130.81
INV-30749,Vendor_44338,PO-53670,"April 15, 2024",51034.75
INV-74416,Vendor_55718,PO-41819,"April 08, 2024",25184.44
INV-27971,Vendor_68918,PO-49586,"April 27, 2024",30323.12
INV-29294,Vendor_44039,PO-21649,"May 03, 2024",26856.63
INV-69855,Vendor_79718,PO-39896,"April 28, 2024",43216.38
INV-14011,Vendor_99642,PO-80586,"April 09, 2024",61835.82
INV-86225,Vendor_92664,PO-79523,"April 08, 2024",10603.43
INV-59158,Vendor_42133,PO-65685,"April 07, 2024",12658.31
INV-15869,Vendor_77706,PO-90725,"May 05, 2024",29674.46
INV-21829,Vendor_35949,PO-83305,"April 12, 2024",77396.98
INV-55067,Vendor_24888,PO-55922,"May 03, 2024",26933.51
INV-34736,Vendor_67695,PO-32580,"May 02, 2024",92591.25
INV-84067,Vendor_30813,PO-11590,"April 21, 2024",14421.62
INV-44058,Vendor_29860,PO-57492,"May 03, 2024",40561.83
INV-35127,Vendor_93347,PO-85848,"April 27, 2024",53805.67
INV-91914,Vendor_88762,PO-49365,"May 02, 2024",37390.24
INV-58050,Vendor_86078,PO-19396,"April 19, 2024",13641.32
INV-38357,Vendor_44080,PO-70509,"April 16, 2024",12832.47
INV-35923,Vendor_30579,PO-94755,"April 23, 2024",10033.08
INV-45602,Vendor_52056,PO-45362,"April 15, 2024",47161.15
INV-78105,Vendor_28000,PO-97490,"April 10, 2024",24632.73
INV-87667,Vendor_84229,PO-39083,"April 12, 2024",93570.87
INV-67062,Vendor_72950,PO-33916,"May 03, 2024",16246.18
INV-16333,Vendor_49816,PO-85237,"April 11, 2024",80446.67
INV-86399,Vendor_39984,PO-86151,"April 11, 2024",86730.82
INV-18824,Vendor_85082,PO-35401,"April 20, 2024",14284.94
INV-24885,Vendor_72842,PO-57136,"April 19, 2024",74818.51
INV-37463,Vendor_85773,PO-46102,"April 19, 2024",23804.59
INV-74315,Vendor_98149,PO-11619,"April 11, 2024",37193.79
INV-67603,Vendor_63363,PO-31980,"April 20, 2024",97086.8
INV-25419,Vendor_90944,PO-32690,"April 18, 2024",12392.02
INV-47344,Vendor_94847,PO-94211,"April 11, 2024",84190.97
INV-43058,Vendor_83071,PO-78245,"May 02, 2024",93644.41
INV-61725,Vendor_65496,PO-41722,"April 30, 2024",34889.01
INV-36006,Vendor_32029,PO-51722,"April 18, 2024",92536.82
INV-74771,Vendor_15552,PO-16563,"April 23, 2024",36840.36
INV-17433,Vendor_64400,PO-84781,"April 19, 2024",44870.62
INV-48516,Vendor_25844,PO-63433,"April 29, 2024",89520.61
INV-45376,Vendor_47621,PO-89569,"May 02, 2024",10524.42
INV-50554,Vendor_50892,PO-99450,"April 25, 2024",47039.32
INV-58099,Vendor_67492,PO-42155,"April 27, 2024",40024.73
INV-88081,Vendor_50579,PO-16803,"April 16, 2024",68789.29
INV-49452,Vendor_35053,PO-47518,"April 14, 2024",89453.94
INV-26670,Vendor_23798,PO-13250,"April 19, 2024",46495.09
INV-65760,Vendor_74775,PO-60852,"May 04, 2024",16880.25
INV-63436,Vendor_24930,PO-53077,"April 23, 2024",77707.51
INV-17398,Vendor_23743,PO-35127,"April 10, 2024",92276.55
INV-47702,Vendor_72326,PO-46629,"April 16, 2024",93909.08
INV-51765,Vendor_14934,PO-93056,"May 06, 2024",26463.73
INV-82064,Vendor_97441,PO-96717,"April 23, 2024",28657.4
INV-65971,Vendor_49735,PO-68994,"April 09, 2024",83140.69
INV-57474,Vendor_74711,PO-13946,"April 29, 2024",6511.0
INV-68653,Vendor_75252,PO-40957,"April 08, 2024",20162.83
INV-78857,Vendor_72454,PO-22355,"April 10, 2024",3230.22
INV-18680,Vendor_20234,PO-90780,"April 21, 2024",33417.72
INV-32518,Vendor_28950,PO-20285,"April 28, 2024",35205.81
INV-69990,Vendor_12293,PO-27055,"May 01, 2024",37002.11
INV-49286,Vendor_22965,PO-54239,"April 24, 2024",68982.18
INV-13875,Vendor_89748,PO-37136,"April 08, 2024",80509.7
INV-35667,Vendor_44434,PO-90324,"May 06, 2024",12567.08
INV-30260,Vendor_84225,PO-20765,"April 22, 2024",65133.71
INV-52135,Vendor_53923,PO-86943,"April 27, 2024",34105.55
INV-96595,Vendor_21463,PO-31734,"April 27, 2024",62555.07
INV-44268,Vendor_53853,PO-99300,"April 22, 2024",80795.02
INV-68935,Vendor_42707,PO-19059,"April 21, 2024",14194.9
INV-47178,Vendor_44472,PO-44677,"April 25, 2024",9701.65
INV-79633,Vendor_58625,PO-39115,"May 06, 2024",28223.02
INV-11540,Vendor_81577,PO-75957,"April 28, 2024",7285.35
INV-18739,Vendor_50497,PO-44851,"April 19, 2024",45697.66
INV-83607,Vendor_19371,PO-88260,"May 01, 2024",86649.63
INV-76209,Vendor_83604,PO-90555,"April 27, 2024",27975.55
INV-66668,Vendor_35839,PO-96948,"April 11, 2024",27024.39
INV-92406,Vendor_40853,PO-41183,"April 14, 2024",85900.91
INV-31506,Vendor_26468,PO-59292,"April 16, 2024",72706.09
INV-60693,Vendor_57305,PO-12318,"May 06, 2024",7138.34
INV-15356,Vendor_39789,PO-77484,"April 20, 2024",71016.17
INV-15379,Vendor_12490,PO-61082,"April 27, 2024",80333.87
INV-52282,Vendor_59236,PO-75681,"April 25, 2024",62313.79
INV-21223,Vendor_25012,PO-16122,"May 05, 2024",69049.98
INV-88247,Vendor_98627,PO-18213,"April 16, 2024",83658.52
INV-53440,Vendor_74557,PO-51878,"April 18, 2024",34331.17
INV-57924,Vendor_35095,PO-19121,"April 29, 2024",62938.1
INV-20076,Vendor_27014,PO-72526,"April 20, 2024",59622.27
INV-95168,Vendor_27281,PO-16559,"April 21, 2024",24911.46
INV-72550,Vendor_43315,PO-72231,"April 07, 2024",24727.58
INV-60178,Vendor_78325,PO-86167,"May 04, 2024",24487.32
INV-73219,Vendor_95653,PO-87897,"April 18, 2024",59863.52
INV-38216,Vendor_61533,PO-20327,"April 24, 2024",71581.75
INV-94957,Vendor_21772,PO-74089,"May 01, 2024",38387.9
INV-61972,Vendor_22260,PO-10852,"April 26, 2024",94615.41
INV-77069,Vendor_64598,PO-63561,"April 23, 2024",19479.36
INV-92506,Vendor_52859,PO-37711,"April 21, 2024",60354.95
INV-66348,Vendor_93452,PO-83545,"May 06, 2024",86643.62
INV-59532,Vendor_80663,PO-71941,"April 23, 2024",79347.82
INV-78117,Vendor_55104,PO-52902,"April 15, 2024",46671.55
INV-35935,Vendor_12445,PO-94012,"April 12, 2024",46697.35
INV-55737,Vendor_35384,PO-22407,"April 15, 2024",66454.85
INV-29437,Vendor_24400,PO-49386,"April 24, 2024",12699.14
INV-66141,Vendor_88081,PO-76440,"April 23, 2024",72929.65
INV-69213,Vendor_64582,PO-44554,"May 04, 2024",18790.98
INV-66709,Vendor_38657,PO-71905,"April 12, 2024",20931.69
INV-12683,Vendor_89546,PO-22213,"April 07, 2024",16663.78
INV-76478,Vendor_67380,PO-76780,"April 25, 2024",77744.7
INV-40249,Vendor_48484,PO-26570,"April 27, 2024",14015.66
INV-53981,Vendor_52654,PO-49695,"April 28, 2024",54958.73
INV-30044,Vendor_53261,PO-40263,"April 27, 2024",64472.15
INV-90338,Vendor_78735,PO-84311,"May 05, 2024",72110.78
INV-97254,Vendor_21463,PO-96071,"April 28, 2024",51319.46
INV-92028,Vendor_98473,PO-17080,"April 09, 2024",32851.87
INV-26607,Vendor_24669,PO-15119,"April 21, 2024",79929.56
INV-26084,Vendor_62913,PO-43572,"May 01, 2024",67081.59
INV-89844,Vendor_71967,PO-80021,"April 29, 2024",33046.15
INV-63840,Vendor_12576,PO-90589,"April 14, 2024",23443.86
INV-12356,Vendor_34209,PO-80513,"April 29, 2024",93938.27
INV-85351,Vendor_39913,PO-65764,"April 11, 2024",50586.89
INV-44296,Vendor_42264,PO-56969,"April 13, 2024",63030.49
INV-71536,Vendor_75793,PO-61696,"April 27, 2024",33089.08
INV-51279,Vendor_20468,PO-65124,"April 21, 2024",47320.23
INV-60271,Vendor_11886,PO-79555,"April 09, 2024",33907.28
INV-70750,Vendor_25293,PO-33329,"April 26, 2024",10551.32
INV-97270,Vendor_45775,PO-55786,"April 19, 2024",67344.37
INV-15862,Vendor_34218,PO-32678,"April 11, 2024",97684.2
INV-94538,Vendor_68908,PO-24419,"April 17, 2024",70560.53
INV-16885,Vendor_13349,PO-54779,"May 05, 2024",70760.8
INV-57449,Vendor_59802,PO-24116,"April 19, 2024",23897.21
INV-55892,Vendor_22586,PO-55326,"April 11, 2024",66963.99
INV-38175,Vendor_43963,PO-39676,"April 25, 2024",18991.59
INV-19719,Vendor_29986,PO-18084,"April 16, 2024",79212.76
INV-35646,Vendor_31905,PO-19616,"April 22, 2024",80601.6
INV-22372,Vendor_87834,PO-43560,"April 26, 2024",86016.67
INV-13234,Vendor_63117,PO-56819,"April 22, 2024",89259.6
INV-32367,Vendor_52381,PO-57985,"May 02, 2024",28416.27
INV-78640,Vendor_65403,PO-51915,"April 25, 2024",89044.42
INV-24132,Vendor_32591,PO-52401,"April 11, 2024",35252.64
INV-50573,Vendor_50811,PO-77994,"April 09, 2024",22686.02
INV-80031,Vendor_80581,PO-71199,"May 03, 2024",56256.73
INV-26063,Vendor_66394,PO-37143,"April 19, 2024",30717.48
INV-43549,Vendor_24860,PO-78465,"May 04, 2024",3992.43
INV-74621,Vendor_11811,PO-70104,"May 05, 2024",88721.7
INV-12844,Vendor_70072,PO-43095,"April 19, 2024",90740.64
INV-81636,Vendor_19672,PO-52414,"May 03, 2024",84744.6
INV-36810,Vendor_47807,PO-20188,"April 18, 2024",52603.22
INV-54562,Vendor_59193,PO-15540,"May 01, 2024",5303.16
INV-57064,Vendor_54544,PO-22323,"April 11, 2024",14687.69
INV-30284,Vendor_88205,PO-88836,"April 13, 2024",58025.36
INV-70769,Vendor_60681,PO-45042,"April 09, 2024",98076.14
INV-31928,Vendor_61351,PO-26206,"April 12, 2024",74260.08
INV-18961,Vendor_58571,PO-79650,"May 03, 2024",42446.09
INV-50173,Vendor_53358,PO-19879,"April 24, 2024",84007.09
INV-29347,Vendor_83701,PO-93511,"May 05, 2024",39750.79
INV-57254,Vendor_78567,PO-73042,"April 16, 2024",57466.97
INV-80716,Vendor_49225,PO-59403,"April 22, 2024",40762.11
INV-54114,Vendor_41938,PO-72579,"April 13, 2024",49105.57
INV-59160,Vendor_72821,PO-83503,"April 28, 2024",12619.65
INV-16053,Vendor_57521,PO-55717,"April 19, 2024",34145.03
INV-41040,Vendor_83667,PO-17579,"April 12, 2024",65039.54
INV-88634,Vendor_23222,PO-29115,"May 05, 2024",32189.98
INV-41068,Vendor_64813,PO-23833,"April 09, 2024",36987.38
INV-39802,Vendor_26640,PO-53336,"April 09, 2024",82941.53
INV-35011,Vendor_71534,PO-11091,"April 10, 2024",98985.92
INV-70056,Vendor_55752,PO-86134,"April 29, 2024",25776.48
INV-23810,Vendor_17802,PO-68296,"April 21, 2024",131.32
INV-57934,Vendor_11076,PO-29456,"April 19, 2024",38113.11
INV-33452,Vendor_60850,PO-56061,"April 25, 2024",12810.34
INV-39317,Vendor_76073,PO-19463,"April 24, 2024",51447.89
INV-31114,Vendor_69871,PO-61366,"April 09, 2024",84457.51
INV-51795,Vendor_85952,PO-43039,"May 03, 2024",42083.29
INV-53870,Vendor_39072,PO-24656,"April 26, 2024",9333.28
INV-89735,Vendor_38524,PO-98888,"April 29, 2024",52429.61
INV-49336,Vendor_15237,PO-69768,"April 11, 2024",88116.98
INV-15607,Vendor_94630,PO-10957,"April 23, 2024",16177.87
INV-92568,Vendor_97476,PO-70123,"April 17, 2024",75204.13
INV-94181,Vendor_40065,PO-47234,"April 16, 2024",77329.84
INV-29391,Vendor_53337,PO-63343,"April 15, 2024",79195.84
INV-39869,Vendor_30981,PO-57748,"April 16, 2024",60345.23
INV-78356,Vendor_59406,PO-31950,"May 01, 2024",71548.44
INV-56918,Vendor_33688,PO-17720,"April 20, 2024",17178.42
INV-72677,Vendor_60313,PO-89042,"April 29, 2024",47844.28
INV-69741,Vendor_18261,PO-58675,"April 19, 2024",51400.4
INV-96283,Vendor_67660,PO-40138,"May 04, 2024",751.74
INV-22123,Vendor_13304,PO-92032,"April 12, 2024",6339.14
INV-41542,Vendor_64703,PO-15965,"April 25, 2024",99703.54
INV-73312,Vendor_25767,PO-97196,"May 03, 2024",88455.2
INV-70687,Vendor_34817,PO-40882,"May 05, 2024",39723.22
INV-98400,Vendor_38895,PO-12876,"May 05, 2024",70923.56
INV-49100,Vendor_49337,PO-64065,"April 26, 2024",66703.58
INV-58849,Vendor_91629,PO-39066,"April 12, 2024",86680.81
INV-79512,Vendor_65393,PO-51436,"April 25, 2024",44789.01
INV-46814,Vendor_21525,PO-95949,"April 07, 2024",44432.71
INV-40791,Vendor_54049,PO-76250,"April 13, 2024",28095.51
INV-13401,Vendor_29020,PO-17697,"May 04, 2024",21682.81
INV-53208,Vendor_61578,PO-32853,"April 08, 2024",1209.03
INV-84567,Vendor_77566,PO-99746,"May 01, 2024",99128.79
INV-80281,Vendor_86647,PO-72348,"May 03, 2024",41078.34
INV-48226,Vendor_84334,PO-64421,"April 08, 2024",32639.21
INV-24652,Vendor_63962,PO-62906,"April 15, 2024",79149.07
INV-28502,Vendor_82459,PO-20050,"April 24, 2024",72686.15
INV-80680,Vendor_98232,PO-48541,"April 19, 2024",18207.33
INV-39601,Vendor_46991,PO-42387,"April 26, 2024",77240.6
INV-99142,Vendor_32135,PO-58097,"April 11, 2024",97339.26
INV-17637,Vendor_49675,PO-46587,"May 01, 2024",48261.9
INV-21840,Vendor_41510,PO-16455,"April 17, 2024",40936.94
INV-80487,Vendor_74924,PO-59122,"May 05, 2024",25703.3
INV-70971,Vendor_90559,PO-52310,"April 20, 2024",92912.54
INV-22913,Vendor_26490,PO-44494,"April 12, 2024",59630.86
INV-55273,Vendor_14601,PO-46496,"April 12, 2024",88827.43
INV-88517,Vendor_86160,PO-27756,"April 08, 2024",84525.01
INV-63058,Vendor_39586,PO-31831,"May 03, 2024",61556.91
INV-85456,Vendor_34357,PO-98171,"April 26, 2024",93404.0
INV-41300,Vendor_72771,PO-21457,"April 11, 2024",52547.79
INV-34038,Vendor_20920,PO-25658,"April 13, 2024",75414.67
INV-82934,Vendor_19567,PO-83176,"April 24, 2024",59319.98
INV-74941,Vendor_28781,PO-10894,"April 20, 2024",15613.26
INV-15040,Vendor_61405,PO-69880,"April 08, 2024",38972.06
INV-32928,Vendor_45371,PO-61644,"April 09, 2024",71383.54
INV-50596,Vendor_65732,PO-63964,"April 19, 2024",45012.06
INV-69101,Vendor_68938,PO-51183,"May 06, 2024",171.59
INV-65229,Vendor_20268,PO-54201,"May 02, 2024",94274.74
INV-57827,Vendor_11820,PO-83806,"April 30, 2024",63996.5
INV-99931,Vendor_22208,PO-41745,"April 12, 2024",36851.48
INV-58939,Vendor_84626,PO-97756,"April 11, 2024",24172.08
INV-60409,Vendor_23561,PO-57208,"April 17, 2024",50670.6
INV-96668,Vendor_14306,PO-48734,"April 23, 2024",97182.7
INV-47182,Vendor_32412,PO-24138,"April 08, 2024",29539.9
INV-67404,Vendor_94248,PO-54331,"April 26, 2024",66391.98
INV-12538,Vendor_88539,PO-99329,"April 20, 2024",92332.35
INV-13171,Vendor_98567,PO-20112,"April 08, 2024",46323.55
INV-31775,Vendor_77726,PO-53602,"April 24, 2024",96387.91
INV-63171,Vendor_45323,PO-32234,"April 09, 2024",83061.05
INV-54823,Vendor_66456,PO-74034,"April 20, 2024",64223.68
INV-77440,Vendor_31605,PO-44406,"April 07, 2024",23349.77
INV-45174,Vendor_19322,PO-26774,"May 04, 2024",47631.04
INV-11214,Vendor_96402,PO-92340,"April 15, 2024",30416.63
INV-74113,Vendor_44320,PO-53902,"May 03, 2024",77864.16
INV-21307,Vendor_96899,PO-36384,"April 08, 2024",94821.66
INV-57290,Vendor_91427,PO-10479,"May 03, 2024",97309.68
INV-24744,Vendor_93763,PO-18874,"May 01, 2024",61753.71
INV-38995,Vendor_82059,PO-95286,"April 22, 2024",75380.9
INV-55554,Vendor_50916,PO-63611,"April 08, 2024",57116.17
INV-27181,Vendor_23930,PO-69598,"April 24, 2024",13363.26
INV-87785,Vendor_37794,PO-50769,"April 20, 2024",68720.08
INV-97860,Vendor_28488,PO-78682,"April 29, 2024",56700.33
INV-38620,Vendor_79152,PO-80208,"April 17, 2024",9542.9
INV-34280,Vendor_43088,PO-85538,"April 25, 2024",15001.02
INV-68604,Vendor_87451,PO-95391,"May 05, 2024",93989.53
INV-40949,Vendor_31431,PO-77426,"April 08, 2024",61620.97
INV-86194,Vendor_75617,PO-98283,"April 17, 2024",61699.83
INV-27440,Vendor_91183,PO-62211,"April 13, 2024",51706.15
INV-47696,Vendor_91594,PO-50649,"April 24, 2024",4846.01
INV-90469,Vendor_76060,PO-22833,"April 14, 2024",47704.55
INV-95047,Vendor_87311,PO-58292,"May 06, 2024",87361.61
INV-42447,Vendor_72651,PO-41002,"April 23, 2024",11354.82
INV-57747,Vendor_12502,PO-25706,"May 04, 2024",47991.51
INV-21744,Vendor_26611,PO-21015,"April 10, 2024",70681.2
INV-53151,Vendor_53048,PO-96714,"April 20, 2024",42390.39
INV-65313,Vendor_26898,PO-16449,"April 19, 2024",15205.4
INV-47128,Vendor_34777,PO-84395,"May 01, 2024",87175.78
INV-32030,Vendor_92207,PO-17493,"April 12, 2024",29780.19
INV-31054,Vendor_89776,PO-83025,"April 16, 2024",37682.1
INV-37000,Vendor_87953,PO-83907,"April 13, 2024",87751.09
INV-57969,Vendor_66662,PO-96728,"May 05, 2024",89631.95
INV-32893,Vendor_50100,PO-69058,"April 20, 2024",37583.33
INV-67100,Vendor_91335,PO-20615,"April 16, 2024",76247.54
INV-99638,Vendor_11705,PO-35999,"May 01, 2024",72235.8
INV-77974,Vendor_29850,PO-59379,"April 27, 2024",32922.95
INV-67106,Vendor_59010,PO-57451,"April 22, 2024",25684.43
INV-86403,Vendor_98170,PO-78703,"April 29, 2024",28645.4
INV-18056,Vendor_25924,PO-85812,"April 15, 2024",17770.77
INV-88347,Vendor_42880,PO-21610,"May 02, 2024",66541.89
INV-23448,Vendor_33619,PO-57918,"April 09, 2024",83856.42
INV-17453,Vendor_98703,PO-36818,"April 26, 2024",85542.62
INV-64532,Vendor_34632,PO-28491,"May 05, 2024",16182.07
INV-33627,Vendor_24212,PO-45057,"April 10, 2024",58993.31
INV-20803,Vendor_97614,PO-54984,"April 22, 2024",58114.21
INV-54749,Vendor_85606,PO-57707,"April 17, 2024",54886.99
INV-57099,Vendor_32848,PO-44748,"April 21, 2024",64238.39
INV-84003,Vendor_46764,PO-34175,"April 29, 2024",23864.52
INV-81454,Vendor_55834,PO-67483,"April 09, 2024",22357.62
INV-79373,Vendor_99687,PO-18495,"April 24, 2024",75662.61
INV-74455,Vendor_71129,PO-34214,"April 16, 2024",3037.57
INV-68824,Vendor_83420,PO-52148,"April 11, 2024",38108.67
INV-98566,Vendor_35125,PO-54506,"May 03, 2024",38834.31
INV-94064,Vendor_17421,PO-20698,"May 03, 2024",80617.78
INV-63555,Vendor_50623,PO-31128,"April 19, 2024",71780.61
